thermal,solar,wind,hydro,battery_discharge,battery_charge
0.0,20.819195854201382,251.02053716972821,208.75686803876076,0.0797884278348239,0
0.0,21.44092875625244,251.1596161336683,209.22308621535788,0.07919045303999528,0
0.0,21.907331466515686,250.8495285279686,209.5008409576279,0.07880039207780556,0
0.0,20.177442817401896,251.14741048504004,209.15505737043335,0.07859336074925652,0
0.0,20.218384524108885,251.00762454646565,209.24688653919915,0.07857031182038379,0
0.0,21.82926559135646,250.9710425886771,209.36868731190913,0.0787327206797429,0
0.0,20.10480917249872,250.9047769462975,209.43058800190406,0.0790737849494494,0
0.0,20.52539953791534,250.84529843222592,209.49158345873508,0.0796102264169039,0
0.0,20.48354882756787,251.07953060611192,209.2743319385699,0.08036045664529122,0
0.0,20.262463123193655,251.0779262205712,209.39312182601407,0.08133318445816012,0
0.0,21.583870422891653,251.17744072662512,209.5107575695665,0.08256262208495407,0
0.0,21.000248111076093,251.19054588032944,209.25543188521164,0.08408483184820992,0
0.0,19.99993636080611,251.03754274209751,209.42832380573773,0.08594094485254579,0
0.0,20.809637320736535,250.88596767114444,209.17944026705032,0.08820167746834537,0
0.0,21.924972217685678,250.99681028791076,209.48994886540805,0.09097133222108325,0
0.0,21.02567241796111,251.11302036774842,209.46052225670837,0.09437478077401147,0
0.0,20.72564126919714,251.1101308766492,209.32156380238328,0.09861345558176171,0
0.0,21.59587850509458,251.09663227766347,209.20541952126268,0.10400479527514064,0
0.0,21.829088304921974,251.02660678658697,209.28795979124453,0.11105277749663447,0
0.0,21.320528624832434,250.92844728629956,209.24406171336412,0.1207052971771376,0
0.0,20.425292924273492,251.09388146545115,209.43277498103313,0.1347532433693358,0
0.0,20.497234507235383,250.84660290292268,209.38018089626286,0.15758184138230785,0
0.0,21.466240552967157,251.16836354225129,209.13705157392332,0.3804241750544433,0
0.0,21.24757580935516,250.97466214229195,208.45783443727078,0.6583265600248357,0
